Reference Number,description,Assigned to,Assignment Group,Affected Service/CI,Affected Service/CI Category,Affected Service/CI Subcategory,Closed Date,Created,Created by,Task Summary,Closed by,Closure Code,Closure Code 2
INC0022325101,Nutanix/Alert / Data At Rest Encryption key backup warning / SystemIndicator Cluster / CDCNTXCLSPR2201 - Data At Rest Encryption key backup warning: Last user backup taken at Jun 02 15:21:22 - Event ID:0242ac11-0007-af61-11ec-ed3068f236fa,Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,cdcntxclspr2201.uk.db.com,,,,16 June 2022,zip_interface,,,Hardware,Not Listed
INC0022248860,Status/WinService / Status/WinService / Status/WinService / CitrixTelemetryService - Service Alert: CitrixTelemetryService has changed to Stopped state - Event ID:0242ac11-0015-bb1f-11ec-e4247c68ef7b,Prashant Sahane,DBSP-INT-NGCS-TIER2-CITRIX,nj3ctxsfspr0101.us.db.com,,,,04 June 2022,zip_interface,,,No Fault Found,False Alert
INC0022248867,Status/WinService / Status/WinService / Status/WinService / CitrixSubscriptionsStore - Service Alert: CitrixSubscriptionsStore has changed to Stopped state - Event ID:0242ac11-0015-bb1f-11ec-e4247c63984a,Prashant Sahane,DBSP-INT-NGCS-TIER2-CITRIX,nj3ctxsfspr0101.us.db.com,,,,04 June 2022,zip_interface,,,No Fault Found,False Alert
INC0022248861,Status/WinService / Status/WinService / Status/WinService / CitrixDefaultDomainService - Service Alert: CitrixDefaultDomainService has changed to Stopped state - Event ID:0242ac11-0015-bb1f-11ec-e4247c61c389,Prashant Sahane,DBSP-INT-NGCS-TIER2-CITRIX,nj3ctxsfspr0101.us.db.com,,,,04 June 2022,zip_interface,,,No Fault Found,False Alert
INC0022248862,Status/WinService / Status/WinService / Status/WinService / CitrixCredentialWallet - Service Alert: CitrixCredentialWallet has changed to Stopped state - Event ID:0242ac11-0015-bb1f-11ec-e4247c603ce8,Prashant Sahane,DBSP-INT-NGCS-TIER2-CITRIX,nj3ctxsfspr0101.us.db.com,,,,04 June 2022,zip_interface,,,No Fault Found,False Alert
INC0022248864,Status/WinService / Status/WinService / Status/WinService / CitrixConfigurationReplication - Service Alert: CitrixConfigurationReplication has changed to Stopped state - Event ID:0242ac11-0015-bb1f-11ec-e4247c59ad36,Prashant Sahane,DBSP-INT-NGCS-TIER2-CITRIX,nj3ctxsfspr0101.us.db.com,,,,04 June 2022,zip_interface,,,No Fault Found,False Alert
INC0022248868,Status/WinService / Status/WinService / Status/WinService / Citrix Peer Resolution Service - Service Alert: Citrix Peer Resolution Service has changed to Stopped state - Event ID:0242ac11-0015-bb1f-11ec-e4247c5c6c57,Prashant Sahane,DBSP-INT-NGCS-TIER2-CITRIX,nj3ctxsfspr0101.us.db.com,,,,04 June 2022,zip_interface,,,No Fault Found,False Alert
INC0022238623,Perf/CPU / Perf/CPU /  / NGVDI-UK-PROD Ticket created for testing purpose. - Event ID:0242ac11-0007-af61-11ec-e29a8a52b5ef,Salkar Omkar,DBSP-INT-NGCS-TIER2-ZENOSS,cdcaiozcopr0201.uk.db.com,,,,02 June 2022,zip_interface,,,Not Listed,
INC0022235807,Nutanix/Alert / CPU Average Load Critically High on Controller VM {ip_address} / SystemIndicator ControllerVM / DSJNTXAHVPR0403 - Average CPU load on Controller VM 172.18.132.56 is critically high (above critical average load threshold value 100) - Event ID:0242ac11-000e-b27b-11ec-e25d3813a457,Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,dsjntxahvpr0403.sg.db.com,,,,02 June 2022,zip_interface,,,Hardware,Not Listed
INC0022235847,"Nutanix/Alert / CPU Average Load critically high for a long time on CVM {cvm_ip} / SystemIndicator ControllerVM / DSJNTXAHVPR0403 - CPU load is very high for ldavg-5 for a long time: 11903808.82, on node 172.18.132.56 - Event ID:0242ac11-000e-b27b-11ec-e25e0e0feb4f",Vishal Sunar,DBSP-INT-NGCS-TIER2-NUTANIX,dsjntxahvpr0403.sg.db.com,,,,02 June 2022,zip_interface,,,No Fault Found,False Alert
INC0022245950,Nutanix/Alert / Dynamic scheduling failure. / Performance Cluster / KCHNTXCLSPR0701 - Dynamic scheduling failure. Detected total 17 anomalies: 1) Detected CPU contention on host: KCHNTXAHVPR0713 2) Detected CPU contention on host: KCHNTXAHVPR0714 3) Detected CPU contention on host: KCHNTXAHVPR0715 4) Detected CPU contention on host: KCHNTXA - Event ID:0242ac11-000e-b27b-11ec-e38b358bdb22,Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,kchntxclspr0701.sg.db.com,,,,03 June 2022,zip_interface,,,Hardware,Not Listed
INC0022245827,Nutanix/Alert / Dynamic scheduling failure. / Performance Cluster / KCHNTXCLSPR0701 - Dynamic scheduling failure. Detected total 17 anomalies: 1) Detected CPU contention on host: KCHNTXAHVPR0713 2) Detected CPU contention on host: KCHNTXAHVPR0714 3) Detected CPU contention on host: KCHNTXAHVPR0715 4) Detected CPU contention on host: KCHNTXA - Event ID:0242ac11-000e-b27b-11ec-e383c88cbc9a,Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,kchntxclspr0701.sg.db.com,,,,03 June 2022,zip_interface,,,Hardware,Not Listed
INC0022245750,Nutanix/Alert / Dynamic scheduling failure. / Performance Cluster / KCHNTXCLSPR0701 - Dynamic scheduling failure. Detected total 17 anomalies: 1) Detected CPU contention on host: KCHNTXAHVPR0713 2) Detected CPU contention on host: KCHNTXAHVPR0714 3) Detected CPU contention on host: KCHNTXAHVPR0715 4) Detected CPU contention on host: KCHNTXA - Event ID:0242ac11-000e-b27b-11ec-e37ccabc9880,Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,kchntxclspr0701.sg.db.com,,,,03 June 2022,zip_interface,,,Hardware,Not Listed
INC0022245652,Nutanix/Alert / Dynamic scheduling failure. / Performance Cluster / KCHNTXCLSPR0701 - Dynamic scheduling failure. Detected total 14 anomalies: 1) Detected CPU contention on host: KCHNTXAHVPR0713 2) Detected CPU contention on host: KCHNTXAHVPR0714 3) Detected CPU contention on host: KCHNTXAHVPR0715 4) Detected CPU contention on host: KCHNTXA - Event ID:0242ac11-000e-b27b-11ec-e37566d13d10,Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,kchntxclspr0701.sg.db.com,,,,03 June 2022,zip_interface,,,Hardware,Not Listed
INC0022245840,Nutanix/Alert / Dynamic scheduling failure. / Performance Cluster / KCHNTXCLSPR0501 - Dynamic scheduling failure. Detected total 23 anomalies: 1) Detected CPU contention on host: KCHNTXAHVPR0507 2) Detected CPU contention on host: KCHNTXAHVPR0520 3) Detected CPU contention on host: KCHNTXAHVPR0519 4) Detected CPU contention on host: KCHNTXA - Event ID:0242ac11-000e-b27b-11ec-e38488ff8cd5,Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,kchntxclspr0501.sg.db.com,,,,03 June 2022,zip_interface,,,Hardware,Not Listed
INC0022245949,Nutanix/Alert / Dynamic scheduling failure. / Performance Cluster / KCHNTXCLSPR0501 - Dynamic scheduling failure. Detected total 22 anomalies: 1) Detected CPU contention on host: KCHNTXAHVPR0507 2) Detected CPU contention on host: KCHNTXAHVPR0520 3) Detected CPU contention on host: KCHNTXAHVPR0519 4) Detected CPU contention on host: KCHNTXA - Event ID:0242ac11-000e-b27b-11ec-e38b769db98c,Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,kchntxclspr0501.sg.db.com,,,,03 June 2022,zip_interface,,,Hardware,Not Listed
INC0022245855,Nutanix/Alert / Dynamic scheduling failure. / Performance Cluster / KCHNTXCLSPR0301 - Dynamic scheduling failure. Detected total 24 anomalies: 1) Detected storage controller contention on host: KCHNTXAHVPR0303 2) Detected CPU contention on host: KCHNTXAHVPR0303 3) Detected CPU contention on host: KCHNTXAHVPR0302 4) Detected CPU contention o - Event ID:0242ac11-000e-b27b-11ec-e385a5aa9cd6,Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,kchntxclspr0301.sg.db.com,,,,03 June 2022,zip_interface,,,Hardware,Not Listed
INC0022245751,Nutanix/Alert / Dynamic scheduling failure. / Performance Cluster / KCHNTXCLSPR0301 - Dynamic scheduling failure. Detected total 24 anomalies: 1) Detected CPU contention on host: KCHNTXAHVPR0303 2) Detected CPU contention on host: KCHNTXAHVPR0302 3) Detected CPU contention on host: KCHNTXAHVPR0301 4) Detected CPU contention on host: KCHNTXA - Event ID:0242ac11-000e-b27b-11ec-e37cc4c8652d,Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,kchntxclspr0301.sg.db.com,,,,03 June 2022,zip_interface,,,Hardware,Not Listed
INC0022245978,Nutanix/Alert / Dynamic scheduling failure. / Performance Cluster / DSJNTXCLSPR0801 - Dynamic scheduling failure. Detected total 11 anomalies: 1) Detected CPU contention on host: DSJNTXAHVPR0813 2) Detected CPU contention on host: DSJNTXAHVPR0812 3) Detected CPU contention on host: DSJNTXAHVPR0806 4) Detected CPU contention on host: DSJNTXA - Event ID:0242ac11-000e-b27b-11ec-e38d69678b5a,Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,dsjntxclspr0801.sg.db.com,,,,03 June 2022,zip_interface,,,Hardware,Not Listed
